year,v3_pixels,v3_area_km2,v4_pixels,v4_area_km2,v5_pixels,v5_area_km2,ratio_v3_to_v4_area,ratio_v5_to_v4_area,v5_override_pixels,v5_override_area_km2,v5_override_fraction
1887,82.000000,113950.673811,1443.000000,2123634.759287,259.000000,366710.247984,0.053658,0.172680,1184.000000,1756924.511304,0.820513
1888,104.000000,143351.638551,1455.000000,2106006.147573,310.000000,441363.685485,0.068068,0.209574,1145.000000,1664642.462088,0.786942
1889,152.000000,212400.297961,1678.000000,2436045.502513,336.000000,481422.585916,0.087191,0.197625,1342.000000,1954622.916597,0.799762
1890,115.000000,161035.491259,1808.000000,2641301.367279,405.000000,585395.071987,0.060968,0.221631,1403.000000,2055906.295293,0.775996
1891,97.000000,138437.555454,1606.000000,2411207.938440,354.000000,527207.636522,0.057414,0.218649,1252.000000,1884000.301918,0.779577
1892,114.000000,155216.739433,1691.000000,2498076.668921,417.000000,607028.110476,0.062134,0.242998,1274.000000,1891048.558445,0.753400
1893,89.000000,128507.174670,1460.000000,2149681.528191,380.000000,552673.196858,0.059780,0.257095,1080.000000,1597008.331333,0.739726
1894,115.000000,163360.495145,1668.000000,2475081.117541,458.000000,674358.213167,0.066002,0.272459,1210.000000,1800722.904374,0.725420
1895,120.000000,170292.225146,1684.000000,2519255.269287,467.000000,683424.210299,0.067596,0.271280,1217.000000,1835831.058988,0.722684
1896,118.000000,169865.364393,1676.000000,2476797.675933,453.000000,661564.169444,0.068583,0.267105,1223.000000,1815233.506489,0.729714
1897,133.000000,195001.101800,1834.000000,2723817.340694,526.000000,775359.407288,0.071591,0.284659,1308.000000,1948457.933406,0.713195
1898,120.000000,172264.915537,1610.000000,2369808.688152,418.000000,608285.169854,0.072691,0.256681,1192.000000,1761523.518297,0.740373
1899,112.000000,153766.558219,1705.000000,2520966.814597,414.000000,596733.435414,0.060995,0.236708,1291.000000,1924233.379183,0.757185
1900,148.000000,208897.503645,1769.000000,2584140.151163,458.000000,662503.010023,0.080838,0.256373,1311.000000,1921637.141140,0.741097
1901,85.000000,116892.413918,1568.000000,2295672.295510,402.000000,567780.821571,0.050919,0.247327,1166.000000,1727891.473939,0.743622
1902,116.000000,166663.545896,2091.000000,3107251.857463,487.000000,701456.210826,0.053637,0.225748,1604.000000,2405795.646637,0.767097
1903,117.000000,162752.879948,1721.000000,2508387.512657,400.000000,569108.365393,0.064883,0.226882,1321.000000,1939279.147265,0.767577
1904,102.000000,148166.850385,1670.000000,2443164.807418,357.000000,512220.816431,0.060645,0.209655,1313.000000,1930943.990986,0.786228
1905,101.000000,145638.320869,1739.000000,2570361.384424,366.000000,535396.865470,0.056661,0.208296,1373.000000,2034964.518954,0.789534
1906,129.000000,188905.542255,2005.000000,2989700.588650,426.000000,619037.218242,0.063185,0.207057,1579.000000,2370663.370407,0.787531
1907,84.000000,115837.331136,1665.000000,2471855.692599,293.000000,420635.451440,0.046862,0.170170,1372.000000,2051220.241159,0.824024
1908,105.000000,147485.100801,1810.000000,2678224.269614,368.000000,528637.401451,0.055068,0.197384,1442.000000,2149586.868163,0.796685
1909,99.000000,140332.648222,1927.000000,2857464.648622,333.000000,479075.106708,0.049111,0.167657,1594.000000,2378389.541914,0.827193
1910,75.000000,108102.446384,1759.000000,2665712.977777,321.000000,479180.832446,0.040553,0.179757,1438.000000,2186532.145331,0.817510
1911,63.000000,90216.370914,1701.000000,2530800.014231,327.000000,474129.536909,0.035647,0.187344,1374.000000,2056670.477322,0.807760
1912,89.000000,127434.716374,2098.000000,3155963.877864,436.000000,642303.431708,0.040379,0.203521,1662.000000,2513660.446156,0.792183
1913,122.000000,173382.692662,2144.000000,3179983.171046,481.000000,711059.961414,0.054523,0.223605,1663.000000,2468923.209632,0.775653
1914,92.000000,133487.630785,1681.000000,2515351.394463,366.000000,536146.985210,0.053069,0.213150,1315.000000,1979204.409253,0.782272
1915,94.000000,136677.875783,1844.000000,2731819.425530,409.000000,598336.523534,0.050032,0.219025,1435.000000,2133482.901995,0.778200
1916,131.000000,192123.398899,2104.000000,3161669.585610,520.000000,777255.271984,0.060766,0.245837,1584.000000,2384414.313626,0.752852
1917,91.000000,122505.647815,1890.000000,2803981.532924,457.000000,648752.039581,0.043690,0.231368,1433.000000,2155229.493343,0.758201
1918,87.000000,125925.640675,1743.000000,2603007.327292,413.000000,603865.804252,0.048377,0.231988,1330.000000,1999141.523041,0.763052
1919,94.000000,130416.685076,1897.000000,2821225.481555,464.000000,675768.455658,0.046227,0.239530,1433.000000,2145457.025896,0.755403
1920,98.000000,135138.347198,1823.000000,2667632.155146,435.000000,620375.606885,0.050659,0.232557,1388.000000,2047256.548261,0.761382
1921,102.000000,141817.363937,2190.000000,3292720.190741,456.000000,663675.079600,0.043070,0.201558,1734.000000,2629045.111141,0.791781
1922,105.000000,146952.432808,2069.000000,3115106.025097,469.000000,679514.638882,0.047174,0.218135,1600.000000,2435591.386215,0.773320
1923,92.000000,135751.363388,1865.000000,2801026.452208,402.000000,588602.064342,0.048465,0.210138,1463.000000,2212424.387866,0.784450
1924,78.000000,111068.066488,1940.000000,2888966.786829,420.000000,608267.773995,0.038446,0.210549,1520.000000,2280699.012834,0.783505
1925,91.000000,132778.675146,2099.000000,3112920.530233,423.000000,599843.409126,0.042654,0.192695,1676.000000,2513077.121106,0.798475
1926,89.000000,125389.083504,2112.000000,3146833.500197,430.000000,619047.186116,0.039846,0.196721,1682.000000,2527786.314081,0.796402
1927,110.000000,162997.176090,2227.000000,3356170.526982,440.000000,653859.441498,0.048566,0.194823,1787.000000,2702311.085484,0.802425
1928,111.000000,157059.847893,1937.000000,2875275.089232,384.000000,550552.681880,0.054624,0.191478,1553.000000,2324722.407352,0.801755
1929,74.000000,103399.825063,2381.000000,3565669.266460,391.000000,560611.292085,0.028999,0.157225,1990.000000,3005057.974375,0.835783
1930,118.000000,158775.683991,2515.000000,3733526.691102,476.000000,674279.738639,0.042527,0.180601,2039.000000,3059246.952462,0.810736
1931,87.000000,120364.749480,2182.000000,3220247.472719,388.000000,549877.874654,0.037377,0.170756,1794.000000,2670369.598065,0.822181
1932,124.000000,173112.107619,2339.000000,3505854.658952,491.000000,717331.292098,0.049378,0.204610,1848.000000,2788523.366854,0.790081
1933,92.000000,126420.156712,2230.000000,3345797.296848,387.000000,568938.401318,0.037785,0.170046,1843.000000,2776858.895530,0.826457
1934,112.000000,160158.864829,2108.000000,3120442.143854,446.000000,655349.782837,0.051326,0.210018,1662.000000,2465092.361017,0.788425
1935,89.000000,124795.559744,2178.000000,3266224.889483,413.000000,610633.563189,0.038208,0.186954,1765.000000,2655591.326293,0.810376
1936,74.000000,103744.831922,2080.000000,3110085.015367,411.000000,607696.079145,0.033358,0.195395,1669.000000,2502388.936222,0.802404
1937,70.000000,98907.401858,2185.000000,3261243.658067,430.000000,633227.110772,0.030328,0.194167,1755.000000,2628016.547295,0.803204
